column_name,value,occurrences
finishes,nonfoil,77867
finishes,foil,56433
finishes,etched,1135
frameEffects,legendary,9323
frameEffects,inverted,6007
frameEffects,extendedart,3671
frameEffects,showcase,2694
frameEffects,enchantment,1098
frameEffects,etched,849
frameEffects,sunmoondfc,381
frameEffects,devoid,195
frameEffects,tombstone,137
frameEffects,snow,119
frameEffects,fullart,113
frameEffects,colorshifted,62
frameEffects,compasslanddfc,54
frameEffects,companion,54
frameEffects,miracle,50
frameEffects,fandfc,50
frameEffects,lesson,41
frameEffects,mooneldrazidfc,35
frameEffects,convertdfc,30
frameEffects,originpwdfc,29
frameEffects,draft,28
frameEffects,spree,28
frameEffects,shatteredglass,14
frameEffects,upsidedowndfc,1
frameEffects,waxingandwaningmoondfc,1
frameEffects,boosterfun,1
promoTypes,boosterfun,9348
promoTypes,datestamped,3859
promoTypes,prerelease,3812
promoTypes,promopack,2415
promoTypes,stamped,2301
promoTypes,surgefoil,1904
promoTypes,setpromo,1729
promoTypes,playtest,862
promoTypes,sldbonus,402
promoTypes,galaxyfoil,376
promoTypes,silverfoil,369
promoTypes,scroll,359
promoTypes,ripplefoil,349
promoTypes,tourney,305
promoTypes,serialized,289
promoTypes,doublerainbow,281
promoTypes,startercollection,278
promoTypes,boxtopper,253
promoTypes,fnm,230
promoTypes,poster,226
promoTypes,planeswalkerdeck,224
promoTypes,ffvii,211
promoTypes,ffxiv,195
promoTypes,starterdeck,192
promoTypes,judgegift,175
promoTypes,ffx,165
promoTypes,rainbowfoil,163
promoTypes,ffvi,161
promoTypes,firstplacefoil,137
promoTypes,halofoil,133
promoTypes,beginnerbox,129
promoTypes,mediainsert,113
promoTypes,embossed,99
promoTypes,textured,98
promoTypes,instore,96
promoTypes,buyabox,91
promoTypes,playerrewards,87
promoTypes,bundle,87
promoTypes,arenaleague,84
promoTypes,gameday,84
promoTypes,thick,79
promoTypes,stepandcompleat,70
promoTypes,release,69
promoTypes,portrait,68
promoTypes,dossier,63
promoTypes,raisedfoil,62
promoTypes,manafoil,60
promoTypes,wizardsplaynetwork,60
promoTypes,convention,59
promoTypes,ffix,53
promoTypes,gilded,48
promoTypes,ffviii,47
promoTypes,ffxiii,46
promoTypes,resale,45
promoTypes,ffxvi,43
promoTypes,ffxv,42
promoTypes,storechampionship,41
promoTypes,intropack,40
promoTypes,fracturefoil,40
promoTypes,event,37
promoTypes,ffiv,35
promoTypes,vault,35
promoTypes,themepack,33
promoTypes,magnified,30
promoTypes,imagine,28
promoTypes,neonink,28
promoTypes,ffxii,27
promoTypes,ravnicacity,26
promoTypes,ffiii,25
promoTypes,ffv,25
promoTypes,brawldeck,24
promoTypes,doubleexposure,22
promoTypes,ffxi,20
promoTypes,ffii,20
promoTypes,oilslick,20
promoTypes,confettifoil,20
promoTypes,ffi,19
promoTypes,draculaseries,18
promoTypes,godzillaseries,17
promoTypes,concept,16
promoTypes,giftbox,16
promoTypes,duels,14
promoTypes,invisibleink,14
promoTypes,playpromo,13
promoTypes,commanderparty,12
promoTypes,openhouse,10
promoTypes,draftweekend,9
promoTypes,setextension,9
promoTypes,alchemy,7
promoTypes,glossy,7
promoTypes,headliner,7
promoTypes,bringafriend,6
promoTypes,league,6
promoTypes,moonlitland,5
promoTypes,dragonscalefoil,5
promoTypes,upsidedown,3
promoTypes,schinesealtart,2
promoTypes,commanderpromo,1
promoTypes,singularityfoil,1
promoTypes,cosmicfoil,1
promoTypes,upsidedownback,1
promoTypes,metal,1
